Participant ID,Final Dot Difference,Num Of Trials,Choice of Human,Choice of Algorithm,Human Trials Changed to Algor,Algor Trials Changed to Human,Algor Default Trials Not Changed,Human Default Trials Not Changed,Block 4 Human Acc,Block 4 Algor Acc,Human Choice After Block 4,Algor Choice After Block 4,Advisor Changed,Left Box Chosen,Preference Strength,Max Cj,Min Cj,Cj Range,Num of Unique Cj Values,Advice Ignored Trials,Mean Cj Change,Cj1 Mean Resolution,Cj2 Mean Resolution,Mean Cj1 Accuracy,Mean Cj2 Accuracy,Sway of Human Advice,Sway of Algor Advice,Mean RT1,Mean RT2,Mean CTC,AccQuant1,AccQuant2,AccQuant3,AccQuant4,AdvQuant1,AdvQuant2,AdvQuant3,AdvQuant4,CjQuant1,CjQuant2,CjQuant3,CjQuant4,Mean Cj1,Mean Cj2,St Dev Cj1,St Dev Cj2,Human Agreed %,Algor Agreed %,Algor Agreed % Diff,Human Agreed Conf Diff,Algor Agreed Conf Diff,Human Disagreed Conf Diff,Algor Disagreed Conf Diff,Algor Relative Influence,dd Block 1 End,dd Block 2 End,Block 1 Accuracy,Block 2 Accuracy
5f997fe115909c05af475b09,15,240,0.481,0.519,0.2625,0.225,0.775,0.7375,0.588,0.615,0.442,0.558,0.24375,0.279,0.019,47,1,46,43,0,9.525,1.35,2.207,0.662,0.742,0.541,2.974,1.614,1.521,3.535,0.8,0.561,0.569,0.678,0.467,0.544,0.51,0.525,0.25,0.237,0.212,0.246,14.271,18.014,10.0,14.012,0.8,0.925,0.125,1.759,-2.583,-3.875,-7.667,-0.55,15,15,0.533,0.533
5fa94ee12438bf08ad45f75f,11,240,0.506,0.494,0.0,0.0125,0.9875,1.0,0.742,0.621,0.5,0.5,0.00625,0.379,0.006,39,5,34,29,219,0.088,4.769,4.752,0.746,0.746,0.025,0.05,1.457,0.967,2.984,0.815,0.717,0.766,0.739,0.556,0.453,0.574,0.413,0.225,0.221,0.196,0.192,24.146,24.15,5.648,5.682,0.425,0.6,0.175,0.0,0.042,0.043,0.062,0.023,15,11,0.467,0.767
5ef9e842779c727aa03b8354,15,240,0.475,0.525,0.1,0.05,0.95,0.9,0.767,0.767,0.467,0.533,0.075,0.458,0.025,47,9,38,27,21,4.721,12.88,19.661,0.804,0.808,0.525,0.568,1.732,1.662,3.684,0.867,0.845,0.68,0.833,0.5,0.552,0.44,0.611,0.25,0.242,0.208,0.225,32.804,36.851,5.385,6.304,0.659,0.692,0.034,-0.077,-0.44,-1.357,-0.833,-0.887,13,15,0.633,0.567
5fbae815234c06b97ab0e8fe,9,240,0.637,0.363,0.3125,0.5875,0.4125,0.6875,0.757,0.522,0.625,0.375,0.45,0.854,0.137,33,1,32,29,5,4.967,0.94,3.128,0.604,0.721,0.743,3.115,2.593,2.526,4.545,0.789,0.591,0.395,0.684,0.228,0.341,0.512,0.561,0.237,0.183,0.179,0.237,10.554,12.558,6.35,9.211,0.78,0.692,-0.088,-2.269,-1.286,3.667,8.25,-3.6,15,9,0.667,0.833
5f2af42fbc242945b9f7dba9,6,240,0.881,0.119,0.0375,0.8,0.2,0.9625,0.714,0.545,0.85,0.15,0.41875,0.358,0.381,50,8,42,35,109,7.642,0.752,1.413,0.679,0.708,4.641,1.026,1.34,1.292,3.295,0.712,0.579,0.462,0,0.322,0.158,0.269,0,0.246,0.237,0.108,0,39.375,41.186,12.077,12.719,0.575,0.575,0.0,-6.227,-1.182,-2.588,-0.824,3.281,6,6,0.867,0.667
5fc185a6c37dd823c306b4f1,14,240,0.5,0.5,0.5625,0.5625,0.4375,0.4375,0.812,0.643,0.483,0.517,0.5625,0.529,0.0,42,2,40,34,48,5.808,2.567,4.046,0.762,0.762,1.946,3.105,2.206,3.128,5.135,0.867,0.733,0.661,0.778,0.35,0.683,0.627,0.333,0.25,0.25,0.246,0.225,13.454,15.792,7.598,12.307,0.825,0.75,-0.075,-1.667,-4.286,-3.143,0.2,-5.962,13,14,0.6,0.6
5f2089b7d71bef17cd2d0509,9,240,0.119,0.881,0.825,0.0625,0.9375,0.175,0.647,0.628,0.1,0.9,0.44375,0.45,0.381,36,4,32,28,13,9.208,6.561,5.394,0.771,0.767,1.538,3.868,1.398,1.493,3.497,0.891,0.698,0.702,0.763,0.673,0.811,0.766,0.814,0.229,0.221,0.196,0.246,22.717,28.924,4.506,10.463,0.725,0.725,0.0,3.0,4.481,-2.182,2.364,-3.064,15,9,0.633,0.733
5f9742fcd891550f11b39df5,9,240,0.094,0.906,0.825,0.0125,0.9875,0.175,0.538,0.723,0.1,0.9,0.41875,0.45,0.406,50,3,47,43,6,6.225,7.473,9.229,0.721,0.708,0.795,1.139,3.016,2.119,4.126,0.845,0.709,0.672,0.683,0.81,0.8,0.69,0.8,0.242,0.229,0.242,0.25,24.075,28.612,8.867,7.755,0.825,0.925,0.1,1.281,1.424,-1.429,-2.0,0.714,15,9,0.533,0.8
5e676b124b800e000cb34228,9,240,0.394,0.606,0.3375,0.125,0.875,0.6625,0.654,0.765,0.392,0.608,0.23125,0.504,0.106,50,1,49,44,10,9.638,0.06,2.75,0.592,0.604,0.649,3.3,3.286,2.448,4.456,0.633,0.586,0.638,0.534,0.6,0.397,0.741,0.534,0.25,0.242,0.242,0.242,22.962,23.526,10.629,13.069,0.625,0.525,-0.1,-1.364,3.857,0.4,2.684,2.937,13,9,0.7,0.8
5f35050d72e95343c64aef66,14,240,0.5,0.5,0.0,0.0,1.0,1.0,0.6,0.867,0.5,0.5,0.0,0.725,0.0,48,1,47,46,4,18.638,6.127,1.687,0.754,0.771,4.128,4.091,1.87,2.084,4.092,0.895,0.672,0.545,0.933,0.561,0.431,0.545,0.433,0.237,0.242,0.229,0.25,26.904,45.133,13.479,7.341,0.7,0.925,0.225,-3.519,-3.433,-5.5,-10.667,5.252,12,14,0.7,0.667
